player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0027061,J.Cook,LAC,2021,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,3,27,0,0,0,21,11,1,1.652263593976386,0,1.2857142857142858,0.08571428571428572,0.09545454545454546,0.1953896103896104,0,2.7,4.7
00-0027061,J.Cook,LAC,2021,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,6,7,70,1,0,0,65,21,5,10.537245249375701,0,1.0769230769230769,0.18421052631578946,0.21311475409836064,0.4254961173425366,0,13,19
00-0027061,J.Cook,LAC,2021,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,3,29,0,0,0,32,27,1,-0.7271602908731438,0,0.90625,0.07142857142857142,0.08465608465608465,0.16640211640211638,0,2.9000000000000004,3.9000000000000004
00-0027061,J.Cook,LAC,2021,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,7,25,1,0,0,54,7,2,-1.664064507553121,0,0.46296296296296297,0.1794871794871795,0.2125984251968504,0.4180496668685645,0,8.5,12.5
00-0027061,J.Cook,LAC,2021,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,5,25,0,0,0,35,11,2,-6.212183209427167,0,0.7142857142857143,0.14705882352941177,0.11326860841423948,0.2998762611840853,0,2.5,4.5
00-0027656,R.Gronkowski,TB,2021,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,8,8,90,2,0,0,53,37,5,8.576409575733123,0,1.6981132075471699,0.17777777777777778,0.13984168865435356,0.36455584872471414,0,21,29
00-0027656,R.Gronkowski,TB,2021,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,5,39,2,0,0,47,12,2,4.900297040032456,0,0.8297872340425532,0.14285714285714285,0.13428571428571429,0.3082857142857143,0,15.9,19.9
00-0027656,R.Gronkowski,TB,2021,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,8,55,0,0,0,94,27,2,-1.6165166493216918,0,0.5851063829787234,0.14814814814814814,0.24415584415584415,0.3931313131313131,0,5.5,9.5
00-0027656,R.Gronkowski,TB,2021,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,11,0,0,-0.7586545896483585,0,0,0.024390243902439025,0.03235294117647059,0.05923242467718795,0,0,0
00-0027685,E.Sanders,BUF,2021,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,8,52,0,0,0,149,5,3,3.0042970144422725,0,0.348993288590604,0.16666666666666666,0.3267543859649123,0.4787280701754386,0,5.2,9.2
00-0027685,E.Sanders,BUF,2021,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,6,48,0,0,0,94,5,2,0.8903976643341593,0,0.5106382978723404,0.20689655172413793,0.36293436293436293,0.564398881640261,0,4.800000000000001,6.800000000000001
00-0027685,E.Sanders,BUF,2021,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,5,6,94,2,0,0,95,17,5,8.896876622369746,0,0.9894736842105263,0.13953488372093023,0.23514851485148514,0.3739062859774349,0,21.4,26.4
